station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2010-10-23 00:00:00,6,168.3,13106.0,M,M,310.0,44,131.0,28.0
KILN,2010-10-23 00:00:00,5,165.0,13230.0,-59.3,-74.3,M,M,M,M
KILN,2010-10-23 00:00:00,6,152.7,13716.0,M,M,290.0,63,131.0,30.0
KILN,2010-10-23 00:00:00,4,150.0,13830.0,-62.3,-76.3,290.0,63,130.0,30.0
KILN,2010-10-23 00:00:00,5,144.0,14081.0,-63.3,-77.3,M,M,M,M
KILN,2010-10-23 00:00:00,5,133.0,14567.0,-64.3,-78.3,M,M,M,M
KILN,2010-10-23 00:00:00,5,131.0,14659.0,-63.9,-77.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,130.0,14706.0,-62.1,-76.1,M,M,M,M
KILN,2010-10-23 00:00:00,6,125.3,14935.0,M,M,305.0,46,129.0,34.0
KILN,2010-10-23 00:00:00,5,125.0,14948.0,-61.9,-75.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,120.0,15202.0,-58.9,-73.9,M,M,M,M
KILN,2010-10-23 00:00:00,6,119.3,15240.0,M,M,300.0,44,129.0,34.0
KILN,2010-10-23 00:00:00,5,115.0,15468.0,-59.9,-74.9,M,M,M,M
KILN,2010-10-23 00:00:00,6,113.6,15544.0,M,M,295.0,42,129.0,35.0
KILN,2010-10-23 00:00:00,6,102.9,16154.0,M,M,300.0,42,128.0,36.0
KILN,2010-10-23 00:00:00,5,102.0,16205.0,-65.7,-79.7,M,M,M,M
KILN,2010-10-23 00:00:00,4,100.0,16320.0,-64.1,-78.1,285.0,37,128.0,37.0
KILN,2010-10-23 00:00:00,5,82.4,17499.0,-64.9,-78.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,80.4,17649.0,-63.1,-77.1,M,M,M,M
KILN,2010-10-23 00:00:00,6,80.0,17678.0,M,M,305.0,42,127.0,40.0
KILN,2010-10-23 00:00:00,6,76.2,17983.0,M,M,295.0,30,127.0,40.0
KILN,2010-10-23 00:00:00,6,72.5,18288.0,M,M,310.0,27,127.0,41.0
KILN,2010-10-23 00:00:00,4,70.0,18510.0,-61.1,-76.1,280.0,25,127.0,41.0
KILN,2010-10-23 00:00:00,6,69.1,18592.0,M,M,280.0,25,127.0,41.0
KILN,2010-10-23 00:00:00,5,67.5,18736.0,-60.5,-75.5,M,M,M,M
KILN,2010-10-23 00:00:00,6,65.8,18897.0,M,M,270.0,23,126.0,42.0
KILN,2010-10-23 00:00:00,6,62.6,19202.0,M,M,295.0,14,126.0,42.0
KILN,2010-10-23 00:00:00,6,59.6,19507.0,M,M,280.0,12,126.0,42.0
KILN,2010-10-23 00:00:00,6,56.7,19812.0,M,M,255.0,19,126.0,42.0
KILN,2010-10-23 00:00:00,5,54.1,20100.0,-63.5,-78.5,M,M,M,M
KILN,2010-10-23 00:00:00,6,54.0,20116.0,M,M,265.0,27,126.0,42.0
KILN,2010-10-23 00:00:00,5,52.6,20273.0,-61.7,-76.7,M,M,M,M
KILN,2010-10-23 00:00:00,6,51.4,20421.0,M,M,290.0,23,125.0,43.0
KILN,2010-10-23 00:00:00,4,50.0,20590.0,-62.9,-77.9,290.0,25,125.0,43.0
KILN,2010-10-23 00:00:00,5,49.6,20639.0,-63.1,-78.1,M,M,M,M
KILN,2010-10-23 00:00:00,5,46.7,21012.0,-58.9,-74.9,M,M,M,M
KILN,2010-10-23 00:00:00,6,46.6,21031.0,M,M,280.0,19,125.0,44.0
KILN,2010-10-23 00:00:00,6,44.3,21336.0,M,M,255.0,23,125.0,44.0
KILN,2010-10-23 00:00:00,6,42.2,21640.0,M,M,275.0,13,124.0,44.0
KILN,2010-10-23 00:00:00,5,41.1,21812.0,-58.7,-74.7,M,M,M,M
KILN,2010-10-23 00:00:00,6,38.4,22250.0,M,M,260.0,29,124.0,45.0
KILN,2010-10-23 00:00:00,6,36.6,22555.0,M,M,270.0,20,123.0,45.0
KILN,2010-10-23 00:00:00,6,34.8,22860.0,M,M,265.0,19,123.0,45.0
KILN,2010-10-23 00:00:00,5,33.8,23051.0,-53.5,-71.5,M,M,M,M
KILN,2010-10-23 00:00:00,6,33.2,23164.0,M,M,245.0,27,123.0,45.0
KILN,2010-10-23 00:00:00,4,30.0,23830.0,-55.3,-73.3,245.0,26,122.0,46.0
KILN,2010-10-23 00:00:00,5,29.7,23894.0,-55.5,-73.5,M,M,M,M
KILN,2010-10-23 00:00:00,6,27.5,24384.0,M,M,245.0,28,121.0,46.0
KILN,2010-10-23 00:00:00,6,26.3,24688.0,M,M,230.0,29,120.0,47.0
KILN,2010-10-23 00:00:00,5,24.2,25214.0,-49.5,-70.5,M,M,M,M
KILN,2010-10-23 00:00:00,6,23.9,25298.0,M,M,265.0,24,120.0,47.0
KILN,2010-10-23 00:00:00,5,20.4,26324.0,-51.9,-72.9,M,M,M,M
KILN,2010-10-23 00:00:00,4,20.0,26450.0,-50.5,-71.5,265.0,33,118.0,49.0
KILN,2010-10-23 00:00:00,5,19.9,26483.0,-50.3,-71.3,M,M,M,M
KILN,2010-10-23 00:00:00,6,19.8,26517.0,M,M,265.0,33,118.0,49.0
KILN,2010-10-23 00:00:00,6,18.0,27127.0,M,M,265.0,29,118.0,50.0
KILN,2010-10-23 00:00:00,6,17.2,27432.0,M,M,240.0,22,117.0,50.0
KILN,2010-10-23 00:00:00,6,16.4,27736.0,M,M,255.0,30,117.0,50.0
KILN,2010-10-23 00:00:00,5,16.2,27813.0,-53.3,-74.3,M,M,M,M
KILN,2010-10-23 00:00:00,6,14.9,28346.0,M,M,240.0,31,116.0,51.0
KILN,2010-10-23 00:00:00,5,13.7,28892.0,-52.1,-74.1,M,M,M,M
KILN,2010-10-23 00:00:00,6,13.6,28956.0,M,M,265.0,46,115.0,52.0
KILN,2010-10-23 00:00:00,5,13.0,29232.0,-49.7,-72.7,M,M,M,M
KILN,2010-10-23 00:00:00,5,11.7,29917.0,-51.3,-74.3,M,M,M,M
KILN,2010-10-23 00:00:00,5,11.5,30029.0,-49.5,-73.5,M,M,M,M
KILN,2010-10-23 00:00:00,6,10.7,30480.0,M,M,265.0,49,113.0,55.0
KILN,2010-10-23 00:00:00,5,10.5,30623.0,-49.3,-73.3,M,M,M,M
KILN,2010-10-23 00:00:00,5,10.2,30813.0,-47.5,-71.5,M,M,M,M
KILN,2010-10-23 00:00:00,4,10.0,30960.0,-47.7,-71.7,270.0,53,112.0,57.0
KILN,2010-10-23 00:00:00,6,9.4,31394.0,M,M,260.0,49,112.0,58.0
KILN,2010-10-23 00:00:00,5,9.3,31437.0,-48.3,-72.3,M,M,M,M
KILN,2010-10-23 12:00:00,9,984.0,317.0,9.8,-1.1,210.0,7,0.0,0.0
KILN,2010-10-23 12:00:00,4,1000.0,183.0,M,M,M,M,M,M
KILN,2010-10-23 12:00:00,5,976.0,385.0,11.8,-3.1,M,M,M,M
KILN,2010-10-23 12:00:00,5,968.0,454.0,15.6,-2.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,965.0,480.0,16.4,-2.6,M,M,M,M
KILN,2010-10-23 12:00:00,6,950.6,609.0,M,M,245.0,32,46.0,0.0
KILN,2010-10-23 12:00:00,4,925.0,843.0,16.4,-3.6,250.0,25,57.0,0.0
KILN,2010-10-23 12:00:00,5,919.0,898.0,16.2,-3.7,M,M,M,M
KILN,2010-10-23 12:00:00,6,917.3,914.0,M,M,260.0,27,60.0,0.0
KILN,2010-10-23 12:00:00,6,884.5,1219.0,M,M,255.0,26,66.0,1.0
KILN,2010-10-23 12:00:00,5,863.0,1426.0,12.8,0.8,M,M,M,M
KILN,2010-10-23 12:00:00,5,859.0,1465.0,12.6,3.6,M,M,M,M
KILN,2010-10-23 12:00:00,6,853.2,1524.0,M,M,255.0,24,68.0,1.0
KILN,2010-10-23 12:00:00,4,850.0,1556.0,12.0,3.0,260.0,22,68.0,1.0
KILN,2010-10-23 12:00:00,5,831.0,1744.0,10.6,3.6,M,M,M,M
KILN,2010-10-23 12:00:00,6,822.6,1828.0,M,M,275.0,20,71.0,1.0
KILN,2010-10-23 12:00:00,5,822.0,1834.0,10.4,1.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,820.0,1854.0,10.2,3.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,792.7,2133.0,M,M,280.0,15,74.0,2.0
KILN,2010-10-23 12:00:00,5,787.0,2193.0,8.4,3.7,M,M,M,M
KILN,2010-10-23 12:00:00,5,774.0,2330.0,7.6,1.5,M,M,M,M
KILN,2010-10-23 12:00:00,5,767.0,2404.0,7.0,2.9,M,M,M,M
KILN,2010-10-23 12:00:00,6,763.8,2438.0,M,M,295.0,12,77.0,2.0
KILN,2010-10-23 12:00:00,5,753.0,2555.0,6.4,1.8,M,M,M,M
KILN,2010-10-23 12:00:00,5,742.0,2676.0,5.2,0.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,735.8,2743.0,M,M,315.0,12,81.0,2.0
KILN,2010-10-23 12:00:00,5,721.0,2908.0,3.4,0.3,M,M,M,M
KILN,2010-10-23 12:00:00,4,700.0,3155.0,1.8,-1.5,305.0,19,86.0,2.0
KILN,2010-10-23 12:00:00,5,683.0,3352.0,0.2,-2.8,M,M,M,M
KILN,2010-10-23 12:00:00,5,668.0,3529.0,-0.9,-5.7,M,M,M,M
KILN,2010-10-23 12:00:00,6,657.3,3657.0,M,M,315.0,19,92.0,3.0
KILN,2010-10-23 12:00:00,5,648.0,3770.0,-2.9,-7.0,M,M,M,M
KILN,2010-10-23 12:00:00,5,618.0,4144.0,-3.5,-12.5,M,M,M,M
KILN,2010-10-23 12:00:00,5,612.0,4221.0,-4.1,-12.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,608.4,4267.0,M,M,285.0,30,98.0,3.0
KILN,2010-10-23 12:00:00,5,608.0,4272.0,-4.5,-8.7,M,M,M,M
KILN,2010-10-23 12:00:00,5,597.0,4415.0,-5.9,-8.2,M,M,M,M
KILN,2010-10-23 12:00:00,6,585.1,4572.0,M,M,275.0,31,98.0,4.0
KILN,2010-10-23 12:00:00,5,581.0,4627.0,-6.9,-9.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,574.0,4721.0,-7.7,-11.5,M,M,M,M
KILN,2010-10-23 12:00:00,6,562.6,4876.0,M,M,280.0,35,98.0,5.0
KILN,2010-10-23 12:00:00,5,557.0,4953.0,-9.7,-11.4,M,M,M,M
KILN,2010-10-23 12:00:00,5,540.0,5191.0,-11.5,-12.8,M,M,M,M
KILN,2010-10-23 12:00:00,5,524.0,5421.0,-11.9,-13.5,M,M,M,M
KILN,2010-10-23 12:00:00,5,521.0,5465.0,-11.9,-14.8,M,M,M,M
